Time	# Active Stations	ECNE (red > 0.6)	ECPN (red > 0.6)	EMFO (red > 0.6)	EPDN (red > 0.6)	EPLC (red > 0.6)	ESLN (red > 0.6)	ESPC (red > 0.6)	ESVO (red > 0.6)	
20210102_15:10	8	0	0	0	0	0	0	0	0	
20210102_15:15	8	0	0	0	0	0	0	0	0	
20210102_15:20	8	0	0	0	0	0	0	0	0	
20210102_15:25	8	0	0	0	0	0	0	0	0	
20210102_15:30	8	0	0	0	0	0	0	0	0	
20210102_15:35	8	0	0	0	0	0	0	0	0	
20210102_15:40	8	0	0	0	0	0	0	0	0	
20210102_15:45	8	0	0	0	0	0	0	0	0	
20210102_15:50	8	0	0	0	0	0	0	0	0	
20210102_15:55	8	0	0	0	0	0	0	0	0	
20210102_16:00	8	0	0	0	0	0	0	0	0	
20210102_16:05	8	0	0	0	0	0	0	0	0	
20210102_16:10	8	0	0	0	0	0	0	0	0	
20210102_16:15	8	0	0	0	0	0	0	0	0	
20210102_16:20	8	0	0	0	0	0	0	0	0	
20210102_16:25	8	0	0	0	0	0	0	0	0	
20210102_16:30	8	0	0	0	0	0	0	0	0	
20210102_16:35	8	0	0	0	0	0	0	0	0	
20210102_16:40	8	0	0	0	0	0	0	0	0	
20210102_16:45	8	0	0	0	0	0	0	0	0	
20210102_16:50	8	0	0	0	0	0	0	0	0	
20210102_16:55	8	0	0	0	0	0	0	0	0	
